## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectMultipleMetrics INPUT=F:\met\NA12878.chrom11.ILLUMINA.bwa.CEU.exome.20121211.bam OUTPUT=F:/picard/out/ FILE_EXTENSION=.txt REFERENCE_SEQUENCE=F:\met\hs37d5.fa    ASSUME_SORTED=true STOP_AFTER=0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] PROGRAM=[CollectAlignmentSummaryMetrics, CollectBaseDistributionByCycle, CollectInsertSizeMetrics, MeanQualityByCycle, QualityScoreDistribution] INCLUDE_UNPAIRED=false VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 01 16:53:30 MSK 2017


## HISTOGRAM	java.lang.Byte
QUALITY	COUNT_OF_Q
1	40594
2	99947316
3	55117
4	288209
5	287290
6	486662
7	582523
8	546561
9	543194
10	706790
11	870066
12	920091
13	1450823
14	1427635
15	1408179
16	1301693
17	1511184
18	1881629
19	2231460
20	2444825
21	2719307
22	3241876
23	4146085
24	4676829
25	5637853
26	7547189
27	9268765
28	11492274
29	17220957
30	25944801
31	28989991
32	34350347
33	48368344
34	70019457
35	84767285
36	76153534
37	59609869
38	68245202
39	64217640
40	32869187
41	12520634
42	322014
43	8382
44	5499
45	1313
46	939
47	355
48	295
49	503
50	292

